episode_length,speed,angle_diff,dist_diff,reward
9.005,34.983,20.001,5.812,0.166
4.772,28.927,12.14,0.91,0.448
8.524,33.052,10.65,1.993,0.398
12.678,35.053,15.259,3.264,0.222
13.621,37.03,32.642,12.394,0.122
4.851,30.102,10.241,1.253,0.471
6.555,20.433,21.37,2.775,0.318
8.694,31.494,14.927,3.381,0.235
20.184,34.142,58.799,45.228,-0.23
10.026,28.305,12.737,2.411,0.332
5.147,29.648,17.682,1.707,0.289
8.521,32.238,13.255,2.253,0.289
7.99,32.617,13.939,2.661,0.342
5.206,30.142,13.541,1.077,0.409
6.072,23.77,36.641,3.617,0.17
5.426,31.166,12.926,0.925,0.418
5.176,27.477,12.276,1.194,0.457
8.085,33.884,11.883,1.224,0.343
10.048,27.918,15.146,3.086,0.306
7.443,33.063,12.29,2.298,0.383
29.772,38.947,65.564,58.657,-0.255
6.617,30.019,20.405,1.658,0.425
4.931,27.362,12.078,1.821,0.361
14.428,29.973,18.9,3.066,0.272
5.445,30.364,10.48,0.951,0.523
8.794,31.964,15.54,2.635,0.294
8.568,33.002,13.103,1.95,0.409
20.471,24.614,64.263,15.817,-0.076
5.276,31.54,14.182,1.594,0.349
7.645,29.516,39.559,1.573,0.349
10.636,35.056,16.974,2.5,0.3
8.752,32.043,11.981,1.953,0.347
5.489,30.874,12.672,0.796,0.503
5.108,29.943,14.283,1.041,0.378
12.159,22.181,51.693,2.335,0.199
5.672,32.209,13.445,1.213,0.474
8.806,31.522,12.481,1.638,0.342
13.891,26.88,21.964,2.308,0.273
4.932,30.632,9.466,1.14,0.572
9.398,29.419,21.459,3.945,0.163
11.067,29.156,25.068,2.548,0.275
5.027,29.893,12.453,0.972,0.438
5.026,29.535,13.517,1.0,0.409
5.133,28.679,12.272,1.193,0.446
8.327,32.429,10.837,2.546,0.349
5.138,29.619,13.982,1.004,0.387
7.304,30.496,18.243,1.28,0.469
8.548,32.432,11.308,1.998,0.343
6.671,29.012,24.235,1.601,0.334
5.581,31.586,13.12,0.99,0.421
10.329,28.283,12.725,3.984,0.307
4.862,28.902,12.73,0.946,0.457
8.23,33.339,14.783,3.242,0.326
8.263,33.471,10.259,1.659,0.377
6.541,29.755,19.615,1.59,0.371
7.721,35.028,13.23,3.076,0.266
5.057,29.739,13.122,0.979,0.416
9.914,35.582,17.438,1.582,0.324
8.303,33.625,11.272,1.802,0.342
10.616,34.243,30.702,1.689,0.322
16.477,26.42,34.581,14.353,-0.02
5.611,31.789,13.266,0.838,0.488
8.28,33.284,11.31,2.037,0.342
8.814,32.991,12.24,2.183,0.351
18.094,36.935,43.317,51.427,-0.184
5.07,28.317,11.308,1.465,0.446
10.205,35.144,18.033,2.584,0.253
11.166,35.396,33.762,16.577,0.01
10.912,37.037,13.373,2.772,0.282

