episode_length,speed,angle_diff,dist_diff,reward
7.431,38.229,10.205,2.0,0.34
8.094,30.83,24.743,1.187,0.392
8.418,30.337,20.039,2.106,0.257
21.587,37.044,14.712,2.588,0.28
7.019,35.495,11.015,0.849,0.465
19.252,35.029,20.848,3.259,0.267
18.607,29.382,58.62,6.881,0.071
6.529,36.715,10.4,1.301,0.348
14.337,36.066,16.105,0.99,0.421
17.025,34.249,45.883,4.252,0.15
9.511,41.363,12.647,1.503,0.32
36.864,34.917,68.418,8.128,0.069
9.973,38.902,13.901,1.56,0.304
7.34,35.594,13.333,1.547,0.45
14.864,31.482,59.456,3.588,0.112
9.987,41.68,12.595,1.952,0.297
9.767,39.018,15.001,1.341,0.373
7.011,36.749,10.62,1.488,0.321
17.4,26.631,79.254,13.336,-0.07
12.798,40.187,15.749,1.645,0.285
17.809,31.448,46.125,2.951,0.268
11.504,36.149,21.827,1.347,0.355
6.395,37.127,9.601,0.895,0.418
23.591,30.945,60.991,4.07,0.153
6.957,37.284,8.505,0.959,0.438
9.431,40.093,11.436,1.98,0.311
35.604,27.912,80.507,11.311,-0.171
9.089,42.26,10.891,1.286,0.395
7.032,36.387,11.418,1.278,0.418
8.578,34.796,15.489,1.456,0.316
6.904,35.005,12.757,1.35,0.356
15.191,37.471,21.338,2.488,0.305
12.246,41.766,11.469,1.465,0.432
31.67,34.153,62.987,43.77,-0.176
22.723,45.76,73.622,23.346,-0.063
20.651,40.385,13.094,2.208,0.284
15.239,41.355,12.988,1.345,0.424
9.457,41.673,12.799,1.223,0.344
7.281,37.812,8.642,1.263,0.427
9.153,40.817,10.606,1.041,0.441
10.491,38.505,9.524,1.12,0.39
18.007,29.995,49.237,4.952,0.153
13.694,39.309,13.261,1.41,0.339
12.901,40.241,12.699,1.296,0.332
9.078,42.428,10.571,1.0,0.337
15.445,33.665,53.066,2.97,0.161
9.199,41.239,10.022,1.147,0.436
6.465,36.257,11.595,1.065,0.377
20.888,36.386,14.591,1.902,0.298
6.735,37.235,11.854,1.375,0.395
21.766,29.165,80.142,10.98,-0.122
10.969,35.346,24.219,1.214,0.329
13.116,34.553,38.113,5.134,0.103
11.778,43.319,12.04,1.193,0.446
9.327,41.981,11.309,1.488,0.314
11.705,34.315,27.044,1.18,0.316
35.507,31.678,78.618,58.647,-0.265
8.806,30.315,23.785,1.592,0.282
10.175,37.611,9.779,1.271,0.393
7.591,38.296,19.404,4.727,0.15
8.79,41.771,10.59,1.133,0.389

