episode_length,speed,angle_diff,dist_diff,reward
7.431,38.229,10.205,2,0.34
8.094,30.83,24.743,1.187,0.392
8.418,30.337,20.039,2.106,0.257
21.587,37.044,14.712,2.588,0.28
7.019,35.495,11.015,0.849,0.465
19.252,35.029,20.848,3.259,0.267
18.607,29.382,58.62,6.881,0.071
6.529,36.715,10.4,1.301,0.348
14.337,36.066,16.105,0.99,0.421
17.025,34.249,45.883,4.252,0.15
9.511,41.363,12.647,1.503,0.32
36.864,34.917,68.418,8.128,0.069
9.973,38.902,13.901,1.56,0.304
7.34,35.594,13.333,1.547,0.45
14.864,31.482,59.456,3.588,0.112
9.987,41.68,12.595,1.952,0.297
9.767,39.018,15.001,1.341,0.373
7.011,36.749,10.62,1.488,0.321
17.4,26.631,79.254,13.336,-0.07
12.798,40.187,15.749,1.645,0.285
17.809,31.448,46.125,2.951,0.268
11.504,36.149,21.827,1.347,0.355
6.395,37.127,9.601,0.895,0.418
23.591,30.945,60.991,4.07,0.153
6.957,37.284,8.505,0.959,0.438
9.431,40.093,11.436,1.98,0.311
35.604,27.912,80.507,11.311,-0.171
9.089,42.26,10.891,1.286,0.395
7.032,36.387,11.418,1.278,0.418
8.578,34.796,15.489,1.456,0.316
399.804,35.4766666666667,27.0111333333333,2.9678,0.278433333333333
