nomor,episode_length,speed,angle_diff,dist_diff,reward
1,9.005,34.983,20.001,5.812,0.166
2,4.772,28.927,12.140,0.910,0.448
3,8.524,33.052,10.650,1.993,0.398
4,12.678,35.053,15.259,3.264,0.222
5,13.621,37.030,32.642,12.394,0.122
6,4.851,30.102,10.241,1.253,0.471
7,6.555,20.433,21.370,2.775,0.318
8,8.694,31.494,14.927,3.381,0.235
9,20.184,34.142,58.799,45.228,-0.230
10,10.026,28.305,12.737,2.411,0.332
11,5.147,29.648,17.682,1.707,0.289
12,8.521,32.238,13.255,2.253,0.289
13,7.990,32.617,13.939,2.661,0.342
14,5.206,30.142,13.541,1.077,0.409
15,6.072,23.770,36.641,3.617,0.170
16,5.426,31.166,12.926,0.925,0.418
17,5.176,27.477,12.276,1.194,0.457
18,8.085,33.884,11.883,1.224,0.343
19,10.048,27.918,15.146,3.086,0.306
20,7.443,33.063,12.290,2.298,0.383
21,29.772,38.947,65.564,58.657,-0.255
22,6.617,30.019,20.405,1.658,0.425
23,4.931,27.362,12.078,1.821,0.361
24,14.428,29.973,18.900,3.066,0.272
25,5.445,30.364,10.480,0.951,0.523
26,8.794,31.964,15.540,2.635,0.294
27,8.568,33.002,13.103,1.950,0.409
28,20.471,24.614,64.263,15.817,-0.076
29,5.276,31.540,14.182,1.594,0.349
30,7.645,29.516,39.559,1.573,0.349
