nomor,episode_length,speed,angle_diff,dist_diff,reward
1,7.431,38.229,10.205,2.000,0.340
2,8.094,30.830,24.743,1.187,0.392
3,8.418,30.337,20.039,2.106,0.257
4,21.587,37.044,14.712,2.588,0.280
5,7.019,35.495,11.015,0.849,0.465
6,19.252,35.029,20.848,3.259,0.267
7,18.607,29.382,58.620,6.881,0.071
8,6.529,36.715,10.400,1.301,0.348
9,14.337,36.066,16.105,0.990,0.421
10,17.025,34.249,45.883,4.252,0.150
11,9.511,41.363,12.647,1.503,0.320
12,36.864,34.917,68.418,8.128,0.069
13,9.973,38.902,13.901,1.560,0.304
14,7.340,35.594,13.333,1.547,0.450
15,14.864,31.482,59.456,3.588,0.112
16,9.987,41.680,12.595,1.952,0.297
17,9.767,39.018,15.001,1.341,0.373
18,7.011,36.749,10.620,1.488,0.321
19,17.400,26.631,79.254,13.336,-0.070
20,12.798,40.187,15.749,1.645,0.285
21,17.809,31.448,46.125,2.951,0.268
22,11.504,36.149,21.827,1.347,0.355
23,6.395,37.127,9.601,0.895,0.418
24,23.591,30.945,60.991,4.070,0.153
25,6.957,37.284,8.505,0.959,0.438
26,9.431,40.093,11.436,1.980,0.311
27,35.604,27.912,80.507,11.311,-0.171
28,9.089,42.260,10.891,1.286,0.395
29,7.032,36.387,11.418,1.278,0.418
30,8.578,34.796,15.489,1.456,0.316
