nomor,episode_length,speed,alpha,reward
1,8.374,32.202,31.098,0.113
2,8.796,29.909,32.023,0.093
3,12.195,29.678,40.528,0.068
4,12.439,30.384,36.557,0.120
5,10.246,29.720,42.027,0.063
6,3.138,19.860,32.557,0.085
7,9.982,30.777,35.319,0.129
8,8.185,30.640,24.322,0.112
9,9.719,31.814,31.563,0.081
10,10.908,33.314,38.641,0.097
11,3.299,21.882,22.220,0.122
12,9.270,31.347,26.635,0.120
13,4.270,26.317,16.402,0.152
14,3.765,23.032,32.140,0.169
15,10.776,31.581,37.949,0.091
16,5.588,28.784,29.461,0.155
17,3.219,22.536,20.392,0.186
18,8.508,30.489,24.669,0.122
19,4.457,23.680,23.546,0.146
20,3.824,22.575,36.989,0.105
21,10.599,31.869,23.992,0.132
22,12.438,31.080,38.071,0.088
23,7.873,31.305,21.448,0.150
24,3.562,22.864,16.225,0.136
25,8.758,27.877,37.786,0.076
26,4.641,26.732,25.345,0.106
27,10.472,32.074,33.322,0.101
28,10.937,31.784,33.864,0.095
29,9.244,30.508,28.196,0.120
30,9.273,29.378,28.780,0.119
